Domain,Records,Status,Reason
155,1,INVALID,Bad domain syntax
156,1,INVALID,Bad domain syntax
157,1,INVALID,Bad domain syntax
158,1,INVALID,Bad domain syntax
159,1,INVALID,Bad domain syntax
160,1,INVALID,Bad domain syntax
161,1,INVALID,Bad domain syntax
162,1,INVALID,Bad domain syntax
163,1,INVALID,Bad domain syntax
164,1,INVALID,Bad domain syntax
165,1,INVALID,Bad domain syntax
166,1,INVALID,Bad domain syntax
167,1,INVALID,Bad domain syntax
168,1,INVALID,Bad domain syntax
169,1,INVALID,Bad domain syntax
170,1,INVALID,Bad domain syntax
171,1,INVALID,Bad domain syntax
172,1,INVALID,Bad domain syntax
173,1,INVALID,Bad domain syntax
174,1,INVALID,Bad domain syntax
175,1,INVALID,Bad domain syntax
176,1,INVALID,Bad domain syntax
177,1,INVALID,Bad domain syntax
178,1,INVALID,Bad domain syntax
179,1,INVALID,Bad domain syntax
180,1,INVALID,Bad domain syntax
181,1,INVALID,Bad domain syntax
182,1,INVALID,Bad domain syntax
183,1,INVALID,Bad domain syntax
184,1,INVALID,Bad domain syntax
185,1,INVALID,Bad domain syntax
186,1,INVALID,Bad domain syntax
187,1,INVALID,Bad domain syntax
188,1,INVALID,Bad domain syntax
189,1,INVALID,Bad domain syntax
190,1,INVALID,Bad domain syntax
191,1,INVALID,Bad domain syntax
192,1,INVALID,Bad domain syntax
193,1,INVALID,Bad domain syntax
194,1,INVALID,Bad domain syntax
195,1,INVALID,Bad domain syntax
196,1,INVALID,Bad domain syntax
197,1,INVALID,Bad domain syntax
198,1,INVALID,Bad domain syntax
199,1,INVALID,Bad domain syntax
200,1,INVALID,Bad domain syntax
201,1,INVALID,Bad domain syntax
202,1,INVALID,Bad domain syntax
203,1,INVALID,Bad domain syntax
204,1,INVALID,Bad domain syntax
205,1,INVALID,Bad domain syntax
206,1,INVALID,Bad domain syntax
207,1,INVALID,Bad domain syntax
208,1,INVALID,Bad domain syntax
209,1,INVALID,Bad domain syntax
210,1,INVALID,Bad domain syntax
211,1,INVALID,Bad domain syntax
212,1,INVALID,Bad domain syntax
213,1,INVALID,Bad domain syntax
214,1,INVALID,Bad domain syntax
215,1,INVALID,Bad domain syntax
216,1,INVALID,Bad domain syntax
217,1,INVALID,Bad domain syntax
218,1,INVALID,Bad domain syntax
219,1,INVALID,Bad domain syntax
220,1,INVALID,Bad domain syntax
221,1,INVALID,Bad domain syntax
222,1,INVALID,Bad domain syntax
223,1,INVALID,Bad domain syntax
224,1,INVALID,Bad domain syntax
